"MatchID","LeagueCode","Result","ModelPick","MarketFavorite","Correct","ActualUpset","AIScore","Confidence","UpsetIndex"
"FAI-0a14d397f37361cd30d07ee2","FD_G1","H","H","H","True","False","55.272966010687","65","44.727033989313"
"FAI-8c7fe27e2a6e01e5eac746e1","FD_G1","H","H","H","True","False","64.4789616862879","84","35.5210383137121"
"FAI-be339eea1a35f1f10e165c5a","FD_G1","D","H","H","False","True","70.5851537647621","100","29.4148462352379"
"FAI-646e0b3e1a55f135cc7c40f2","FD_G1","D","H","H","False","True","59.8521812249495","76","40.1478187750505"
"FAI-a05acc48011f7da90de36db3","FD_G1","H","A","H","False","False","38.9699829806583","10","65.9835814386472"
"FAI-c4a4d9a7488a646a4511567d","FD_G1","H","A","H","False","False","47.5692176306577","42","74.1817501306904"
"FAI-8178f41eafd368afe0b31275","FD_G1","A","A","A","True","False","49.9767853139254","49","50.0232146860746"
"FAI-3316a1af76435855da0f95fa","FD_G1","H","H","H","True","False","75.5707317290474","100","24.4292682709526"
"FAI-6536a2ad5af6641f94fb304e","FD_G1","A","A","A","True","False","58.5778033029575","74","41.4221966970425"
"FAI-300f48a9e031dd699b62e328","FD_G1","H","H","H","True","False","45.8257580824583","37","54.1742419175417"
"FAI-de717a6c3bcd96c68c8fc054","FD_G1","D","A","A","False","True","49.6574133848881","47","50.3425866151119"
"FAI-2e59f39bc9433b6443de07b6","FD_G1","D","A","H","False","True","40.2652934793749","13","66.4005209474804"
"FAI-78c5db928f76489638ea3777","FD_G1","D","H","H","False","True","39.6011231287817","10","60.3988768712183"
"FAI-50da1a9942c265bc700b958c","FD_G1","A","A","A","True","False","46.0329362526316","31","53.9670637473684"
"FAI-c8dc16c9b1f6c113818a951b","FD_G1","D","A","A","False","True","56.0792844721676","64","43.9207155278324"
"FAI-23bafbe544014492f3f181fd","FD_G1","H","H","H","True","False","64.340052684448","87","35.659947315552"
"FAI-76d3d15f9f5d9fe45bd7e520","FD_G1","H","H","H","True","False","39.0318317747603","6","60.9681682252397"
"FAI-89039f8457408cb40df3c42f","FD_G1","A","A","A","True","False","52.2473418446082","52","47.7526581553918"
"FAI-1570cb6472755428e9a9f9fe","FD_G1","A","H","H","False","True","47.2565968823872","37","52.7434031176128"
