match_id,home_team_id,away_team_id,league_id,b365_home,b365_draw,b365_away,home_goals,away_goals
SGE_BSC_20211016,SGE,BSC,Bundesliga 2021-22,1.75,3.8,4.5,1,2
SCF_RBL_20211016,SCF,RBL,Bundesliga 2021-22,4.0,4.0,1.85,1,1
SGF_BOC_20211016,SGF,BOC,Bundesliga 2021-22,2.37,3.5,2.9,0,1
UNI_WOB_20211016,UNI,WOB,Bundesliga 2021-22,2.7,3.25,2.7,2,0
BMG_VFB_20211016,BMG,VFB,Bundesliga 2021-22,1.5,4.75,6.0,1,1
B04_BAY_20211017,B04,BAY,Bundesliga 2021-22,4.75,4.6,1.6,1,5
AUG_BIE_20211017,AUG,BIE,Bundesliga 2021-22,2.25,3.2,3.4,1,1
M05_AUG_20211022,M05,AUG,Bundesliga 2021-22,1.61,3.8,5.75,4,1
BAY_TSG_20211023,BAY,TSG,Bundesliga 2021-22,1.14,9.0,15.0,4,0
BIE_BVB_20211023,BIE,BVB,Bundesliga 2021-22,6.0,4.5,1.5,1,3
RBL_SGF_20211023,RBL,SGF,Bundesliga 2021-22,1.12,8.5,21.0,4,1
WOB_SCF_20211023,WOB,SCF,Bundesliga 2021-22,2.1,3.3,3.6,0,2
BSC_BMG_20211023,BSC,BMG,Bundesliga 2021-22,3.75,3.5,2.0,1,0
KOE_B04_20211024,KOE,B04,Bundesliga 2021-22,3.3,3.8,2.05,2,2
VFB_UNI_20211024,VFB,UNI,Bundesliga 2021-22,2.37,3.5,2.9,1,1
BOC_SGE_20211024,BOC,SGE,Bundesliga 2021-22,3.2,3.5,2.2,2,0
TSG_BSC_20211029,TSG,BSC,Bundesliga 2021-22,1.66,4.0,4.75,2,0
BIE_M05_20211030,BIE,M05,Bundesliga 2021-22,3.75,3.5,2.0,1,2
BVB_KOE_20211030,BVB,KOE,Bundesliga 2021-22,1.45,5.0,6.0,2,0
SCF_SGF_20211030,SCF,SGF,Bundesliga 2021-22,1.36,5.0,8.0,3,1
B04_WOB_20211030,B04,WOB,Bundesliga 2021-22,1.9,3.75,4.0,0,2
UNI_BAY_20211030,UNI,BAY,Bundesliga 2021-22,9.0,5.75,1.3,2,5
