match_id,home_recent_games,home_recent_goals,home_recent_conceded,home_recent_wins,home_recent_draws,home_recent_losses,away_recent_games,away_recent_goals,away_recent_conceded,away_recent_wins,away_recent_draws,away_recent_losses
2008-06-07_Portugal_Turkey,7,7,5,4,1,2,0,0,0,0,0,0
2008-06-08_Austria_Croatia,0,0,0,0,0,0,3,2,3,0,2,1
2008-06-08_Germany_Poland,7,14,6,5,1,1,3,2,4,1,0,2
2008-06-09_Romania_France,0,0,0,0,0,0,7,9,3,4,3,0
2008-06-09_Netherlands_Italy,4,3,2,2,1,1,7,12,2,5,2,0
2008-06-10_Spain_Russia,4,9,4,3,0,1,0,0,0,0,0,0
2008-06-10_Greece_Sweden,0,0,0,0,0,0,4,3,4,1,2,1
2008-06-11_Czech Republic_Portugal,4,4,4,2,0,2,8,9,5,5,1,2
2008-06-11_Switzerland_Turkey,5,4,1,2,2,1,1,0,2,0,0,1
2008-06-12_Croatia_Germany,4,3,3,1,2,1,8,16,6,6,1,1
2008-06-12_Austria_Poland,1,0,1,0,0,1,4,2,6,1,0,3
2008-06-13_Italy_Romania,8,12,5,5,2,1,1,0,0,0,1,0
2008-06-13_Netherlands_France,5,6,2,3,1,1,8,9,3,4,4,0
2008-06-14_Sweden_Spain,5,5,4,2,2,1,5,13,5,4,0,1
2008-06-14_Greece_Russia,1,0,2,0,0,1,1,1,4,0,0,1
2008-06-15_Portugal_Switzerland,9,12,6,6,1,2,6,5,3,2,2,2
2008-06-15_Turkey_Czech Republic,2,2,3,1,0,1,5,5,7,2,0,3
2008-06-16_Austria_Germany,2,1,2,0,1,1,9,17,8,6,1,2
2008-06-16_Poland_Croatia,5,3,7,1,1,3,5,5,4,2,2,1
2008-06-17_France_Italy,9,10,7,4,4,1,9,13,6,5,3,1
2008-06-17_Netherlands_Romania,6,10,3,4,1,1,2,1,1,0,2,0
2008-06-18_Greece_Spain,2,0,3,0,0,2,6,15,6,5,0,1
2008-06-18_Russia_Sweden,2,2,4,1,0,1,6,6,6,2,2,2
2008-06-19_Portugal_Germany,10,14,6,7,1,2,10,18,8,7,1,2
2008-06-20_Croatia_Turkey,6,6,4,3,2,1,3,5,5,2,0,1
2008-06-21_Netherlands_Russia,7,12,3,5,1,1,3,4,4,2,0,1
2008-06-22_Spain_Italy,7,17,7,6,0,1,10,15,6,6,3,1
2008-06-25_Germany_Turkey,10,17,8,7,1,2,4,6,6,2,1,1
2008-06-26_Russia_Spain,4,7,5,3,0,1,8,17,7,6,1,1
2008-06-29_Germany_Spain,10,19,10,7,1,2,9,20,7,7,1,1
2010-06-11_South Africa_Mexico,0,0,0,0,0,0,4,5,5,1,1,2
2010-06-11_Uruguay_France,0,0,0,0,0,0,10,10,9,4,4,2
2010-06-12_Korea Republic_Greece,0,0,0,0,0,0,3,1,5,0,0,3
2010-06-12_Argentina_Nigeria,5,11,3,3,2,0,0,0,0,0,0,0
2010-06-12_England_USA,5,6,2,3,2,0,3,2,6,0,1,2
2010-06-13_Algeria_Slovenia,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-13_Serbia_Ghana,0,0,0,0,0,0,4,4,6,2,0,2
2010-06-13_Germany_Australia,10,16,11,6,1,3,4,5,6,1,1,2
2010-06-14_Netherlands_Denmark,8,13,6,5,1,2,0,0,0,0,0,0
2010-06-14_Japan_Cameroon,3,2,7,0,1,2,0,0,0,0,0,0
2010-06-14_Italy_Paraguay,10,13,6,5,4,1,3,2,2,1,0,2
2010-06-15_New Zealand_Slovakia,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-15_Ivory Coast_Portugal,3,5,6,1,0,2,10,15,9,6,1,3
2010-06-15_Brazil_Korea DPR,5,10,2,4,0,1,0,0,0,0,0,0
2010-06-16_Honduras_Chile,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-16_Spain_Switzerland,10,21,7,8,1,1,7,5,5,2,2,3
2010-06-17_South Africa_Uruguay,1,1,1,0,1,0,1,0,0,0,1,0
2010-06-17_Mexico_France,5,6,6,1,2,2,10,10,9,4,4,2
2010-06-17_Argentina_Korea Republic,6,12,3,4,2,0,1,2,0,1,0,0
2010-06-17_Greece_Nigeria,4,1,7,0,0,4,1,0,1,0,0,1
2010-06-18_England_Algeria,6,7,3,3,3,0,1,0,1,0,0,1
2010-06-18_Slovenia_USA,1,1,0,1,0,0,4,3,7,0,2,2
2010-06-18_Germany_Serbia,10,18,11,6,1,3,1,0,1,0,0,1
2010-06-19_Ghana_Australia,5,5,6,3,0,2,5,5,10,1,1,3
2010-06-19_Netherlands_Japan,9,15,6,6,1,2,4,3,7,1,1,2
2010-06-19_Denmark_Cameroon,1,0,2,0,0,1,1,0,1,0,0,1
2010-06-20_Italy_New Zealand,10,13,6,5,4,1,1,1,1,0,1,0
2010-06-20_Slovakia_Paraguay,1,1,1,0,1,0,4,3,3,1,1,2
2010-06-20_Brazil_Ivory Coast,6,12,3,5,0,1,4,5,6,1,1,2
2010-06-20_Portugal_Korea DPR,10,13,9,5,2,3,1,1,2,0,0,1
2010-06-21_Chile_Switzerland,1,1,0,1,0,0,8,6,5,3,2,3
2010-06-21_Spain_Honduras,10,17,8,7,1,2,1,0,1,0,0,1
2010-06-22_Mexico_Uruguay,6,8,6,2,2,2,2,3,0,1,1,0
2010-06-22_France_South Africa,10,9,10,4,3,3,2,1,4,0,1,1
2010-06-22_Nigeria_Korea Republic,2,1,3,0,0,2,2,3,4,1,0,1
2010-06-22_Greece_Argentina,5,3,8,1,0,4,7,16,4,5,2,0
2010-06-23_USA_Algeria,5,5,9,0,3,2,2,0,1,0,1,1
2010-06-23_Slovenia_England,2,3,2,1,1,0,7,7,3,3,4,0
2010-06-23_Ghana_Germany,6,6,7,3,1,2,10,17,11,6,0,4
2010-06-23_Australia_Serbia,6,6,11,1,2,3,2,1,1,1,0,1
2010-06-24_Slovakia_Italy,2,1,3,0,1,1,10,12,7,4,5,1
2010-06-24_Paraguay_New Zealand,5,5,3,2,1,2,2,2,2,0,2,0
2010-06-24_Denmark_Japan,2,2,3,1,0,1,5,3,8,1,1,3
2010-06-24_Cameroon_Netherlands,2,1,3,0,0,2,10,16,6,7,1,2
2010-06-25_Korea DPR_Ivory Coast,2,1,9,0,0,2,5,6,9,1,1,3
2010-06-25_Brazil_Portugal,7,15,4,6,0,1,10,18,8,5,2,3
2010-06-25_Spain_Chile,10,16,7,7,1,2,2,2,0,2,0,0
2010-06-25_Switzerland_Honduras,9,6,6,3,2,4,2,0,3,0,0,2
2010-06-26_Uruguay_Korea Republic,3,4,0,2,1,0,3,5,6,1,1,1
2010-06-26_USA_Ghana,6,6,9,1,3,2,7,6,8,3,1,3
