match_id,home_team_id,away_team_id,league_id,b365_home,b365_draw,b365_away,home_goals,away_goals
ALA_RIZ_20210206,ALA,RIZ,Turkey Super Lig 2020-21,1.55,4.0,5.0,2,1
BUY_KAR_20210206,BUY,KAR,Turkey Super Lig 2020-21,1.95,3.7,3.4,0,1
FEN_GAL_20210206,FEN,GAL,Turkey Super Lig 2020-21,2.37,3.4,2.8,0,1
ERZ_KAY_20210207,ERZ,KAY,Turkey Super Lig 2020-21,2.05,3.3,3.3,1,1
ANK_SIV_20210207,ANK,SIV,Turkey Super Lig 2020-21,2.8,3.3,2.25,1,4
DEN_ANT_20210207,DEN,ANT,Turkey Super Lig 2020-21,2.55,3.2,2.55,1,1
BES_KON_20210207,BES,KON,Turkey Super Lig 2020-21,1.55,4.0,5.75,1,0
GAZ_GOZ_20210208,GAZ,GOZ,Turkey Super Lig 2020-21,2.15,3.1,3.6,2,0
YEN_TRA_20210208,YEN,TRA,Turkey Super Lig 2020-21,3.2,3.25,2.25,0,2
RIZ_ERZ_20210212,RIZ,ERZ,Turkey Super Lig 2020-21,2.2,3.4,3.2,0,2
KAY_ANK_20210213,KAY,ANK,Turkey Super Lig 2020-21,2.2,3.3,3.25,0,0
TRA_GAZ_20210213,TRA,GAZ,Turkey Super Lig 2020-21,1.57,4.0,5.75,1,0
KAR_FEN_20210213,KAR,FEN,Turkey Super Lig 2020-21,4.2,3.75,1.72,1,2
KON_DEN_20210214,KON,DEN,Turkey Super Lig 2020-21,1.95,3.4,3.8,2,0
GAL_KAS_20210214,GAL,KAS,Turkey Super Lig 2020-21,1.4,5.0,6.5,2,1
GOZ_BUY_20210214,GOZ,BUY,Turkey Super Lig 2020-21,2.6,3.4,2.6,2,1
HAT_ALA_20210214,HAT,ALA,Turkey Super Lig 2020-21,2.9,3.4,2.3,0,0
GEN_BES_20210215,GEN,BES,Turkey Super Lig 2020-21,6.0,4.75,1.4,0,3
ANT_YEN_20210215,ANT,YEN,Turkey Super Lig 2020-21,2.4,3.25,2.87,1,1
BUY_TRA_20210219,BUY,TRA,Turkey Super Lig 2020-21,2.05,3.4,3.5,0,1
KAS_KAR_20210220,KAS,KAR,Turkey Super Lig 2020-21,2.75,3.5,2.37,3,2
DEN_GEN_20210220,DEN,GEN,Turkey Super Lig 2020-21,1.95,3.4,3.8,1,0
YEN_KON_20210220,YEN,KON,Turkey Super Lig 2020-21,2.4,3.0,3.2,2,3
ALA_GAL_20210220,ALA,GAL,Turkey Super Lig 2020-21,2.8,3.5,2.37,0,1
ERZ_HAT_20210221,ERZ,HAT,Turkey Super Lig 2020-21,2.9,3.3,2.37,1,3
GAZ_ANT_20210221,GAZ,ANT,Turkey Super Lig 2020-21,2.1,3.0,3.8,0,0
SIV_KAY_20210221,SIV,KAY,Turkey Super Lig 2020-21,1.8,3.75,4.33,2,0
FEN_GOZ_20210221,FEN,GOZ,Turkey Super Lig 2020-21,1.5,4.2,6.5,0,1
ANK_RIZ_20210222,ANK,RIZ,Turkey Super Lig 2020-21,2.4,3.3,2.87,1,1
GEN_YEN_20210226,GEN,YEN,Turkey Super Lig 2020-21,3.1,3.3,2.3,1,1
KON_GAZ_20210226,KON,GAZ,Turkey Super Lig 2020-21,2.5,2.9,3.1,0,0
BES_DEN_20210226,BES,DEN,Turkey Super Lig 2020-21,1.3,5.5,8.5,3,0
HAT_ANK_20210227,HAT,ANK,Turkey Super Lig 2020-21,1.8,3.4,4.0,4,1
KAR_ALA_20210227,KAR,ALA,Turkey Super Lig 2020-21,2.87,3.4,2.37,2,0
ANT_BUY_20210227,ANT,BUY,Turkey Super Lig 2020-21,2.62,3.1,2.75,0,0
