"Dataset","SourceMatchID","Status","Reasons"
"international_matches","2022-12-06_Morocco_Spain","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2022-12-06_Portugal_Switzerland","QUARANTINED","IMPLAUSIBLE_SHOTS|UNVERIFIABLE_SOURCE"
"international_matches","2022-12-09_Croatia_Brazil","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2022-12-09_Netherlands_Argentina","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2022-12-10_Morocco_Portugal","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2022-12-10_England_France","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2022-12-13_Argentina_Croatia","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2022-12-14_France_Morocco","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2022-12-17_Croatia_Morocco","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2022-12-18_Argentina_France","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-14_Germany_Scotland","QUARANTINED","IMPLAUSIBLE_SHOTS|UNVERIFIABLE_SOURCE"
"international_matches","2024-06-15_Hungary_Switzerland","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-15_Spain_Croatia","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-15_Italy_Albania","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-16_Poland_Netherlands","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-16_Slovenia_Denmark","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-16_Serbia_England","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-17_Romania_Ukraine","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-17_Belgium_Slovakia","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-17_Austria_France","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-18_Turkey_Georgia","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-18_Portugal_Czech Republic","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-19_Croatia_Albania","QUARANTINED","UNVERIFIABLE_SOURCE"
"international_matches","2024-06-19_Germany_Hungary","QUARANTINED","UNVERIFIABLE_SOURCE"
