Season,HomeTeam,AwayTeam,FTHG,FTAG,Res
2025,Vestri,Afturelding,2,0,H
2025,Afturelding,Stjarnan,3,0,H
2025,Víkingur R.,Fram,3,2,H
2025,Breiðablik,KR,3,3,D
2025,FH,Valur,3,0,H
2025,ÍA,KA,3,0,H
2025,ÍBV,Vestri,0,2,A
2025,Valur,Víkingur R.,1,1,D
2025,Fram,Afturelding,3,0,H
2025,Stjarnan,ÍBV,2,3,A
2025,KR,ÍA,5,0,H
2025,KA,FH,3,2,H
2025,Vestri,Breiðablik,0,1,A
2025,Afturelding,Víkingur R.,1,0,H
2025,ÍBV,Fram,3,1,H
2025,Breiðablik,Stjarnan,2,1,H
2025,FH,KR,2,2,D
2025,ÍA,Vestri,0,2,A
2025,Valur,KA,3,1,H
2025,KR,Valur,3,3,D
2025,Stjarnan,ÍA,2,1,H
2025,Víkingur R.,KA,4,0,H
2025,Fram,Breiðablik,4,2,H
2025,Afturelding,ÍBV,0,0,D
2025,Vestri,FH,1,0,H
2025,Stjarnan,FH,2,1,H
2025,Víkingur R.,ÍBV,2,0,H
2025,Fram,ÍA,0,1,A
2025,KA,KR,2,2,D
2025,Valur,Vestri,1,1,D
2025,Breiðablik,Afturelding,2,0,H
