MatchID,LotteryMatchID,MatchNumber,SnapshotTime,Market,Handicap,Selection,Odds,SaleStatus,SourceAgency,SourceReference
FAI-e51b2e8d964c4242b11039ec,260715102,周三102,2026-07-15T03:55:00+08:00,SPF,,H,2.35,OPEN,CHINA_SPORTS_LOTTERY,JCZQ-EV-F4C14C3202FD91434658
FAI-e51b2e8d964c4242b11039ec,260715102,周三102,2026-07-15T03:55:00+08:00,SPF,,D,2.75,OPEN,CHINA_SPORTS_LOTTERY,JCZQ-EV-F4C14C3202FD91434658
FAI-e51b2e8d964c4242b11039ec,260715102,周三102,2026-07-15T03:55:00+08:00,SPF,,A,2.94,OPEN,CHINA_SPORTS_LOTTERY,JCZQ-EV-F4C14C3202FD91434658
FAI-e51b2e8d964c4242b11039ec,260715102,周三102,2026-07-15T03:55:00+08:00,RQSPF,-1,H,5.65,OPEN,CHINA_SPORTS_LOTTERY,JCZQ-EV-F4C14C3202FD91434658
FAI-e51b2e8d964c4242b11039ec,260715102,周三102,2026-07-15T03:55:00+08:00,RQSPF,-1,D,3.75,OPEN,CHINA_SPORTS_LOTTERY,JCZQ-EV-F4C14C3202FD91434658
FAI-e51b2e8d964c4242b11039ec,260715102,周三102,2026-07-15T03:55:00+08:00,RQSPF,-1,A,1.46,OPEN,CHINA_SPORTS_LOTTERY,JCZQ-EV-F4C14C3202FD91434658
