MatchID,LotteryMatchID,MatchNumber,SnapshotTime,Market,Handicap,Selection,Odds,SaleStatus,SourceAgency,SourceReference
FAI-e51b2e8d964c4242b11039ec,260715102,周三102,2026-07-15T14:55:00+08:00,SPF,,H,2.36,OPEN,CHINA_SPORTS_LOTTERY,JCZQ-EV-6E3AEDDA3E5F98583B3E
FAI-e51b2e8d964c4242b11039ec,260715102,周三102,2026-07-15T14:55:00+08:00,SPF,,D,2.80,OPEN,CHINA_SPORTS_LOTTERY,JCZQ-EV-6E3AEDDA3E5F98583B3E
FAI-e51b2e8d964c4242b11039ec,260715102,周三102,2026-07-15T14:55:00+08:00,SPF,,A,2.87,OPEN,CHINA_SPORTS_LOTTERY,JCZQ-EV-6E3AEDDA3E5F98583B3E
FAI-e51b2e8d964c4242b11039ec,260715102,周三102,2026-07-15T14:55:00+08:00,RQSPF,-1,H,5.65,OPEN,CHINA_SPORTS_LOTTERY,JCZQ-EV-6E3AEDDA3E5F98583B3E
FAI-e51b2e8d964c4242b11039ec,260715102,周三102,2026-07-15T14:55:00+08:00,RQSPF,-1,D,3.80,OPEN,CHINA_SPORTS_LOTTERY,JCZQ-EV-6E3AEDDA3E5F98583B3E
FAI-e51b2e8d964c4242b11039ec,260715102,周三102,2026-07-15T14:55:00+08:00,RQSPF,-1,A,1.45,OPEN,CHINA_SPORTS_LOTTERY,JCZQ-EV-6E3AEDDA3E5F98583B3E
